id,date,subject,class_type,distance_miles,avg_hr,max_hr,splat_points,calories,zone_gray_min,zone_blue_min,zone_green_min,zone_orange_min,zone_red_min,source
e25dfb0c7dda,,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,,,,134,14,,,,,,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7q5AAAA
480e0a21eeb9,,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,,,,137,15,,,,,,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7q6AAAAAA==
2498b22ca33e,,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,,,,141,16,,,,,,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7q7AAAA
854041d30d2b,,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,,,,134,10,,,,,,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7q8AAAA
45e8c89be44b,,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,,,,145,21,,,,,,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7q9AAAA
114da5f37181,,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,,,,140,16,,,,,,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7q_AAAA
547b289766e8,,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,,,,128,,,,,,,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7q-AAAA
576f87096720,,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,,,,139,18,,,,,,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7rAAAAA
da8e26aa84f3,,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,,,,142,17,,,,,,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7rBAAAA
120e07dce4c0,,"REDACTED_NAME, way to conquer that workout. Track your fitness journey inside.",Unknown,,,,140,18,,,,,,graph:AQMkADAwATExADhlNy00YzRkLThkMWEtMDACLTAwCgBGAAADP3RoO7OiGki7wsdvbwADroEHAI7wAa4iGANGobjEpJupSpMACKuTh4MAAACO8AGuIhgDRqG4xKSbqUqTAAirm7rCAAAA
