date,time,class_name,class_type,coach,studio,calories,splat_points,avg_hr,max_hr,peak_hr,avg_hr_percent,peak_hr_percent,zone_gray_min,zone_blue_min,zone_green_min,zone_orange_min,zone_red_min,active_time_sec,step_count,tread_distance_mi,tread_avg_speed_mph,tread_max_speed_mph,tread_avg_incline,tread_max_incline,tread_elevation_ft,tread_moving_time_sec,rower_distance_m,rower_avg_power_w,rower_avg_cadence,rower_max_cadence,rower_moving_time_sec
2026-06-26,06:00,Orange 60 Min 2G,ORANGE_60,Alyssa,"Kirkland, WA",696,10,130,179,159,72,88,3,23,21,10,0,3404,4808,2.95,6.5,9.0,2.0,10.0,311.52,1640.0,419.0,196.0,27.7,29.0,283.0
2026-06-29,06:00,Orange 60 Min 2G,ORANGE_60,Haley,"Kirkland, WA",635,4,122,179,154,68,86,12,23,19,4,0,3472,3165,1.94,5.7,8.0,1.6,1.0,163.891,1232.0,1101.0,212.1,28.2,31.0,282.0
2026-07-01,06:00,Orange 60 Min 2G,ORANGE_60,Haley,"Kirkland, WA",717,15,136,179,161,75,89,0,16,24,15,0,3276,5115,3.21,6.9,11.0,1.0,1.0,169.488,1685.0,447.0,265.9,28.5,31.0,472.0
2026-07-03,06:00,Orange 60 Min 2G,ORANGE_60,Keaton,"Kirkland, WA",674,4,128,179,175,71,97,3,21,28,3,1,3369,3760,2.06,5.7,8.0,1.0,1.0,108.768,1294.0,494.0,209.9,27.3,30.0,121.0
2026-07-06,06:00,Orange 60 Min 2G,ORANGE_60,Haley,"Kirkland, WA",706,14,134,179,191,74,106,4,18,19,10,4,3301,5048,3.2,6.5,10.0,1.4,1.0,236.544,1774.0,0.0,0.0,0.0,0.0,0.0
2026-07-08,06:00,Orange 60 Min 2G,ORANGE_60,Cam P,"Kirkland, WA",700,12,135,179,164,75,91,2,13,28,12,0,3248,4754,2.86,0.0,10.0,1.0,1.0,151.008,0.0,591.0,181.2,22.6,25.0,526.0
2026-07-10,06:00,Orange 60 Min 2G,ORANGE_60,Sarah,"Kirkland, WA",762,13,137,179,163,76,91,2,8,35,13,0,3433,5029,2.81,5.8,10.0,2.8,15.0,415.431,1734.0,988.0,207.0,25.2,30.0,960.0
2026-07-15,06:00,Orange 60 Min 2G,ORANGE_60,Keaton,"Kirkland, WA",663,7,124,179,158,69,88,12,17,22,7,0,3504,4008,2.37,11.4,9.0,1.6,10.0,200.218,750.0,816.0,175.2,27.4,30.0,215.0
2026-07-17,06:00,Orange 60 Min 2G,ORANGE_60,Sarah,"Kirkland, WA",678,12,131,179,162,73,90,5,20,17,13,0,3266,4833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,06:00,Orange 60 Min 2G,ORANGE_60,Haley,"Kirkland, WA",773,12,136,179,161,75,89,0,17,30,12,0,3529,4433,2.2,6.0,8.0,1.0,1.0,116.16,1318.0,1555.0,162.2,26.8,29.0,390.0
2026-07-22,06:00,Orange 60 Min 2G,ORANGE_60,Haley,"Kirkland, WA",762,15,139,179,163,77,91,0,8,33,15,0,3363,5047,3.33,6.4,11.0,1.0,1.0,175.824,1865.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,06:00,Orange 60 Min 2G,ORANGE_60,Sarah,"Kirkland, WA",696,11,135,179,160,75,89,2,15,26,11,0,3202,3839,2.4,6.8,7.0,1.0,1.0,126.72,1261.0,1040.0,222.9,27.6,30.0,236.0
